title,author:,content:
Thủ tướng yêu cầu rà soát kết nối cao tốc để tạo không gian phát triển mới,"
                            Trần Thường
                        ","
                    "
"Bí thư TP.HCM: ‘Đau thương từ Covid-19 đã dịu, nhưng lòng nhân ái còn sáng mãi’","
                            Hồ Văn
                        ","
                    "
Chủ tịch Quốc hội: Không được để tạo cơ chế xin - cho trong xây dựng luật,"
                            Thu Hằng
                        ","
                    "
Bổ nhiệm bà Bùi Thị Thu Thanh làm Thư ký Chủ tịch nước Võ Văn Thưởng,"
                            Trần Thường
                        ","
                    "
Phó Thủ tướng Lê Văn Thành 'đánh thức' Hải Phòng bằng những quyết sách mạnh mẽ,"
                            Hoài Anh
                        ","
                    "
Đại tướng Lương Cường nhận huy hiệu 45 năm tuổi Đảng,"
                            Trần Thường
                        ","
                    "
"Thủ tướng Singapore Lý Hiển Long đến Hà Nội, bắt đầu chuyến thăm Việt Nam",,"Chiều 27/8, chuyên cơ chở Thủ tướng Singapore "
Bộ Quốc phòng: Cần sửa đổi quy định tiêu chuẩn nhập ngũ với công dân cận thị,"
                            Trần Thường
                        ","
                    "
Nhu cầu sử dụng Quỹ Viễn thông công ích là rất lớn,"
                            Quang Phong
                        ","
                    "
Thủ tướng bổ nhiệm Tư lệnh Bộ Tư lệnh Tác chiến không gian mạng,"
                            Trần Thường
                        ","
                    "
Lãnh đạo Việt Nam chúc mừng Ấn Độ đưa tàu vũ trụ thành công lên Mặt trăng,"
                            Trần Thường
                        ","
                    "
Linh xa đưa Phó Thủ tướng Lê Văn Thành về an nghỉ tại quê nhà,,"7h sáng nay (26/8), Ban Chấp hành Trung ương Đảng, Quốc hội, Chủ tịch nước, Chính phủ, Ủy ban Trung ương MTTQ và gia đình tổ chức trọng thể Lễ truy điệu và đưa tang ông Lê Văn Thành, Uỷ viên Trung ương Đảng, Uỷ viên Ban Cán sự Đảng Chính phủ, Phó Thủ tướng Chính phủ theo nghi thức Lễ tang cấp Nhà nước. "
"'Không bắt buộc, chỉ khuyến khích giao dịch bất động sản qua sàn'","
                            Quang Phong
                        ","
                    "
"Bộ TT&TT và Bộ Công an phối hợp rà soát, loại bỏ SIM rác hoạt động tín dụng đen","
                            Thu Hằng
                        ","
                    "
Thủ tướng Phạm Minh Chính chủ trì lễ đón Thủ tướng Lý Hiển Long tại Phủ Chủ tịch,,"Sáng 28/8, lễ đón chính thức Thủ tướng Singapore Lý Hiển Long đã diễn ra trọng thể tại Phủ Chủ tịch, dưới sự chủ trì của "
"Lãnh đạo Đảng, Nhà nước viếng Phó Thủ tướng Lê Văn Thành",,"Để tỏ lòng thương tiếc và ghi nhận những thành tích, cống hiến của Phó Thủ tướng Lê Văn Thành, ngày 24/8, Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, Quốc hội, Chủ tịch nước, Chính phủ, Ủy ban Trung ương Mặt trận Tổ quốc Việt Nam tổ chức lễ tang ông Lê Văn Thành với nghi thức Lễ tang cấp Nhà nước."
Dự thảo Luật Đất đai: Nhiều ý kiến còn băn khoăn về thu hồi đất phát triển KT-XH,"
                            Trần Thường
                        ","
                    "
Thủ tướng chủ trì phiên họp Chính phủ chuyên đề xây dựng pháp luật,,Thủ tướng Chính phủ Phạm Minh Chính chủ trì phiên họp Chính phủ chuyên đề xây dựng pháp luật tháng 8/2023 - Ảnh: VGP/Nhật Bắc
"Kỳ thi đặc biệt của hơn 1.200 công chức, viên chức","
                            Thu Hằng
                        ","
                    "
"Phó Thủ tướng Lê Văn Thành là người dám nghĩ, dám làm","
                            Hoài Anh
                        ","
                    "
Tổng Bí thư Nguyễn Phú Trọng thăm và làm việc tại tỉnh Lạng Sơn,,"Nội dung làm việc về tình hình thực hiện Nghị quyết Đại hội XIII của Đảng và Nghị quyết Đại hội đại biểu Đảng bộ tỉnh lần thứ XVII, nhiệm kỳ 2020 - 2025."
"Bộ Chính trị quy định về xin lỗi, phục hồi quyền lợi đảng viên bị kỷ luật oan","
                            Thu Hằng
                        ","
                    "
Cần nghiêm cấm việc vừa 'chạy' quy hoạch vừa điều chỉnh mục đích sử dụng đất,"
                            Trần Thường
                        ","
                    "
Chủ tịch nước Võ Văn Thưởng dâng hương tưởng niệm Chủ tịch Tôn Đức Thắng,"
                            Trần Tuyên
                        ","
                    "
"Kiến nghị tăng tuổi tại ngũ với sĩ quan cấp úy, thiếu tá, trung tá quân đội","
                            Trần Thường
                        ","
                    "
Thủ tướng thăm trường dân tộc nội trú tại huyện nghèo của Kon Tum,,"Cùng đi với Thủ tướng Chính phủ có các đồng chí Ủy viên Trung ương Đảng: Bộ trưởng Bộ Giáo dục và Đào tạo Nguyễn Kim Sơn, Bộ trưởng Bộ Văn hóa, Thể thao và Du lịch Nguyễn Văn Hùng, Bộ trưởng Bộ Tài nguyên và Môi trường Đặng Quốc Khánh, Bộ trưởng Bộ Giao thông vận tải Nguyễn Văn Thắng, Bí thư Tỉnh ủy, Chủ tịch HĐND tỉnh Kon Tum Dương Văn Trang; lãnh đạo các bộ, ngành, cơ quan Trung ương và địa phương."
"Thủ tướng: Phát huy vai trò người dân trong sản xuất, chế biến sâm Ngọc Linh",,"Bà con xã Ngọk Lây, huyện Tu Mơ Rông vui mừng đón Thủ tướng đến thăm - Ảnh: VGP/Nhật Bắc"
Hai Phó Thủ tướng làm Chủ tịch Hội đồng điều phối hai vùng,"
                            Trần Thường
                        ","
                    "
Chủ tịch nước dự lễ kỷ niệm 135 năm ngày sinh Chủ tịch Tôn Đức Thắng,"
                            Trần Tuyên
                        ","
                    "
"Tổng thống Kazakhstan đến Hà Nội, bắt đầu thăm chính thức Việt Nam","
                            Trần Thường
                        ","
                    "
Chủ tịch Quốc hội chủ trì họp về dự thảo Luật Tổ chức Toà án Nhân dân (sửa đổi),,"Cùng dự về phía Quốc hội có các Ủy viên Trung ương Đảng: Phó Chủ tịch Quốc hội Nguyễn Khắc Định; Tổng Thư ký Quốc hội, Chủ nhiệm Văn phòng Quốc hội Bùi Văn Cường; Chủ nhiệm Ủy ban Pháp luật Hoàng Thanh Tùng; Chủ nhiệm Ủy ban Tư pháp Lê Thị Nga."
"Thủ tướng yêu cầu khẩn trương sửa chữa, trả lại lòng đường dịp 2/9","
                            Trần Thường
                        ","
                    "
Thủ tướng làm việc với Ban Thường vụ Tỉnh ủy Kon Tum,,"Sáng 20/8, Thủ tướng Phạm Minh Chính làm việc với Ban Thường vụ Tỉnh ủy Kon Tum về tình hình thực hiện nhiệm vụ phát triển kinh tế-xã hội, đảm bảo quốc phòng, an ninh, xây dựng Đảng và hệ thống chính trị; định hướng, nhiệm vụ, giải pháp thời gian tới; giải quyết một số kiến nghị của tỉnh."
Phó Thủ tướng Lê Văn Thành từ trần,"
                            Thu Hằng
                        ","
                    "
Chủ tịch Quốc hội: Hợp tác Việt Nam và Bỉ đạt được kết quả đáng tự hào,"
                            Trần Thường
                        ","
                    "
Thứ trưởng Phạm Đức Long giữ chức Bí thư Đảng ủy Bộ Thông tin và Truyền thông,,"Sáng 22/8, Đảng ủy Bộ TT&TT tổ chức Hội nghị công bố quyết định của Đảng ủy Khối các cơ quan Trung ương về công tác cán bộ. "
Chủ tịch nước đề nghị Kazakhstan sớm nâng cấp Hiệp định Thương mại tự do,,"Sáng 21/8, tại Phủ Chủ tịch, "
Chủ tịch nước Võ Văn Thưởng và Tổng thống Kazakhstan thử tài làm Gốm Chu Đậu,,"Sáng 22/8, giữa lịch trình dày đặc trong "
"Câu nói ""tớ cám ơn' của cựu bộ trưởng sau khi nhận tiền từ Việt Á","
                            TS. Cù Văn Trung 
                        ","
                    "
"Tổng Bí thư chủ trì phiên họp 24 Ban Chỉ đạo TW về phòng, chống tham nhũng",,"Ban Chỉ đạo Trung ương về phòng, "
"Tổng Bí thư, Thủ tướng và Chủ tịch Quốc hội tiếp Tổng thống Kazakhstan",,"Ngày 21/8, sau cuộc hội đàm cùng Chủ tịch nước Võ Văn Thưởng, Tổng thống Kazakhstan Kassym-Jomart Tokayev đã gặp Tổng Bí thư Nguyễn Phú Trọng, hội kiến với Thủ tướng Phạm Minh Chính và Chủ tịch Quốc hội Vương Đình Huệ."
